;Provinsi;Kota/Kabupaten;Website;Framework;;;;;;;;;;;;;;;;;;;;;;;
72;Jawa Tengah;Kota Pekalongan;https://jdih.pekalongankota.go.id/;JQuery;;;;Bootstrap;Font Awesome;Data Tables;;;;;;;;;;;;;;;;;
73;Jawa Tengah;Kota Salatiga;https://jdih.salatiga.go.id/;;;PHP;Apache;Google Analyticis;;;;;;;;;;;;;;;;;;;
74;Jawa Tengah;Kota Semarang;http://jdih.semarangkota.go.id/;JQuery;Wordpress;PHP;Apache;UIkit;Font Awesome;Google Font API;Highchart;MySQL;;;;;;;;;;;;;;;
75;Jawa Tengah;Kota Surakarta;http://jdih.surakarta.go.id/;JQuery;FrontPage;PHP;Apache;Bootstrap;;;;JQuery Migrate;JQuery UI;;;;;;;;;;;;;;
76;Jawa Tengah;Kota Tegal;https://jdih.tegalkota.go.id/;JQuery;;PHP;Apache;Bootstrap;;Google Font API;;JQuery Migrate;MailChimp;;;;;;;;;;;;;;
77;Jawa Timur;Kabupaten Banywangi;http://jdih.banyuwangikab.go.id/;JQuery;;PHP;Apache;Bootstrap;;;;;;;;;;;;;;;;;;;
78;Jawa Timur;Kabupaten Bondowoso;http://bondowosokab.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;;Google Font API;;MySQL;;;;;;;;;;;;;;;
79;Jawa Timur;Kabupaten Bojonegoro;http://kabbojonegoro.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;;Google Font API;;MySQL;;;;;;;;;;;;;;;
80;Jawa Timur;Kabupaten Gresik;http://jdih.gresikkab.go.id/;JQuery;Wordpress;PHP;Nginx;;Font Awesome;Google Font API;DataTables;JQuery Migrate;JQuery UI;;;;;;;;;;;;;;
81;Jawa Timur;Kabupaten Lumajang;https://jdih.lumajangkab.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;;;;;;;;;;;;;;;;;;;
82;Jawa Timur;Kabupaten Lamongan;https://kablamongan.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;Font Awesome;Google Font API;DataTables;JQuery Migrate;JQuery UI;Modernizr;;;;;;;;;;;;;
83;Jawa Timur;Kabupaten Jombang;http://jdih.jombangkab.go.id/;JQuery;Wordpress;PHP;Cloudfare;Bootstrap;Font Awesome;Google Font API;MySQL;JQuery Migrate;JQuery UI;Data Tables;;;;;;;;;;;;;
